   data    |  godzina  | wartość temperatury
2021-03-27 | 12:43:45  | 23.69
2021-03-27 | 12:48:45  | 23.75
2021-03-27 | 12:53:45  | 23.75
2021-03-27 | 12:58:45  | 23.75
2021-03-27 | 13:03:45  | 23.75
2021-03-27 | 13:08:45  | 23.69
2021-03-27 | 13:13:45  | 23.69
2021-03-27 | 13:18:45  | 23.75
2021-03-27 | 13:23:45  | 23.75
2021-03-27 | 13:28:45  | 23.75
2021-03-27 | 13:33:45  | 23.69
2021-03-27 | 13:38:45  | 23.69
2021-03-27 | 13:43:46  | 23.69
2021-03-27 | 13:48:46  | 23.69
2021-03-27 | 13:53:46  | 23.69
2021-03-27 | 13:58:46  | 23.69
2021-03-27 | 14:03:46  | 23.69
2021-03-27 | 14:08:46  | 23.69
2021-03-27 | 14:13:46  | 23.69
2021-03-27 | 14:18:46  | 23.69
2021-03-27 | 14:23:46  | 23.69
2021-03-27 | 14:28:46  | 23.69
2021-03-27 | 14:33:46  | 23.69
2021-03-27 | 14:38:46  | 23.75
2021-03-27 | 14:43:46  | 23.75
2021-03-27 | 14:48:46  | 23.75
2021-03-27 | 14:53:46  | 23.75
2021-03-27 | 14:58:47  | 23.75
2021-03-27 | 15:03:47  | 23.75
2021-03-27 | 15:08:47  | 23.75
2021-03-27 | 15:13:47  | 23.75
2021-03-27 | 15:18:47  | 23.75
2021-03-27 | 15:23:47  | 23.75
2021-03-27 | 15:28:47  | 23.69
2021-03-27 | 15:33:47  | 23.69
2021-03-27 | 15:38:47  | 23.69
2021-03-27 | 15:43:47  | 23.69
2021-03-27 | 15:48:47  | 23.69
2021-03-27 | 15:53:47  | 23.69
2021-03-27 | 15:58:47  | 23.63
2021-03-27 | 16:03:47  | 23.63
2021-03-27 | 16:08:47  | 23.63
2021-03-27 | 16:13:48  | 23.63
2021-03-27 | 16:18:48  | 23.63
2021-03-27 | 16:23:48  | 23.56
2021-03-27 | 16:28:48  | 23.56
2021-03-27 | 16:33:48  | 23.56
2021-03-27 | 16:38:48  | 23.56
2021-03-27 | 16:43:48  | 23.56
2021-03-27 | 16:48:48  | 23.56
2021-03-27 | 16:53:48  | 23.56
2021-03-27 | 16:58:48  | 23.56
2021-03-27 | 17:03:48  | 23.56
2021-03-27 | 17:08:48  | 23.56
2021-03-27 | 17:13:48  | 23.5
2021-03-27 | 17:18:49  | 23.5
2021-03-27 | 17:23:49  | 23.5
2021-03-27 | 17:28:49  | 23.5
2021-03-27 | 17:33:49  | 23.69
